#front|back
<h1>おかわり</h1>|<div class='reading'>おかわり</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* another helping</div><br><div class='definition'>* second helping</div><br><div class='definition'>* seconds</div><br><div class='definition'>* refill</div><br><br><div class='tags'>uk-int</div><br><div class='definition'>* command to have dog place its second paw in one's hand</div><br><br>
<h1>あんまり</h1>|<div class='reading'>あまり</div><br><div class='reading'>あんまり</div><br><hr><div class='tags'>uk-n-adj-no</div><br><div class='definition'>* remainder</div><br><div class='definition'>* remnant</div><br><div class='definition'>* rest</div><br><div class='definition'>* balance</div><br><div class='definition'>* surplus</div><br><div class='definition'>* remains (of a meal)</div><br><div class='definition'>* leftovers</div><br><br><div class='tags'>uk-adv</div><br><div class='definition'>* (not) very</div><br><div class='definition'>* (not) much</div><br><br><div class='tags'>uk-adv</div><br><div class='definition'>* too much</div><br><div class='definition'>* excessively</div><br><div class='definition'>* overly</div><br><br><div class='tags'>adj-na-adj-no</div><br><div class='definition'>* extreme</div><br><div class='definition'>* great</div><br><div class='definition'>* severe</div><br><div class='definition'>* tremendous</div><br><div class='definition'>* terrible</div><br><br><div class='tags'>n-suf</div><br><div class='definition'>* more than</div><br><div class='definition'>* over</div><br><br>
<h1>返信</h1>|<div class='reading'>へんしん</div><br><hr><div class='tags'>n-vs-vt-vi</div><br><div class='definition'>* reply (e.g. email, fax, letter)</div><br><div class='definition'>* answer</div><br><br>
<h1>客席</h1>|<div class='reading'>きゃくせき</div><br><hr><div class='tags'>n</div><br><div class='definition'>* guest seating (e.g. theater, stadium)</div><br><div class='definition'>* passenger seat (e.g. taxi)</div><br><br><div class='tags'>n</div><br><div class='definition'>* audience</div><br><br>
<h1>散策</h1>|<div class='reading'>さんさく</div><br><hr><div class='tags'>n-vs-vi</div><br><div class='definition'>* walking</div><br><div class='definition'>* strolling</div><br><div class='definition'>* roaming</div><br><div class='definition'>* wandering</div><br><div class='definition'>* exploring</div><br><br>
<h1>月日</h1>|<div class='reading'>がっぴ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* month and day (of the year)</div><br><div class='definition'>* (the) date</div><br><br><br><div class='reading'>つきひ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* time</div><br><div class='definition'>* years</div><br><div class='definition'>* days</div><br><div class='definition'>* (one's) life</div><br><br><div class='tags'>n</div><br><div class='definition'>* the Moon and the Sun</div><br><br>
<h1>バケツ</h1>|<div class='reading'>バケツ</div><br><hr><div class='tags'>uk-n</div><br><div class='definition'>* bucket</div><br><div class='definition'>* pail</div><br><br>
<h1>何だか</h1>|<div class='reading'>なんだか</div><br><hr><div class='tags'>uk-adv</div><br><div class='definition'>* (a) little</div><br><div class='definition'>* somewhat</div><br><div class='definition'>* somehow</div><br><br>
<h1>ぶら下がる</h1>|<div class='reading'>ぶらさがる</div><br><hr><div class='tags'>v5r-vi</div><br><div class='definition'>* to hang down (from)</div><br><div class='definition'>* to dangle</div><br><div class='definition'>* to swing</div><br><div class='definition'>* to be suspended</div><br><br><div class='tags'>v5r-vi</div><br><div class='definition'>* to be within one's reach</div><br><div class='definition'>* to dangle (before one's eyes)</div><br><br><div class='tags'>v5r-vi</div><br><div class='definition'>* to be completely reliant on</div><br><div class='definition'>* to be entirely dependent on</div><br><br>
<h1>可笑しい</h1>|<div class='reading'>おかしい</div><br><div class='reading'>オカシイ</div><br><hr><div class='tags'>uk-adj-i</div><br><div class='definition'>* funny</div><br><div class='definition'>* amusing</div><br><div class='definition'>* comical</div><br><div class='definition'>* laughable</div><br><div class='definition'>* ridiculous</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* strange</div><br><div class='definition'>* odd</div><br><div class='definition'>* funny</div><br><div class='definition'>* peculiar</div><br><div class='definition'>* weird</div><br><div class='definition'>* wrong</div><br><div class='definition'>* unusual</div><br><div class='definition'>* eccentric</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* wrong</div><br><div class='definition'>* unsuitable</div><br><div class='definition'>* improper</div><br><div class='definition'>* inappropriate</div><br><div class='definition'>* unbecoming</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* suspicious</div><br><br>
<h1>たくましい</h1>|<div class='reading'>たくましい</div><br><hr><div class='tags'>uk-adj-i</div><br><div class='definition'>* burly</div><br><div class='definition'>* strong</div><br><div class='definition'>* sturdy</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* indomitable</div><br><div class='definition'>* indefatigable</div><br><div class='definition'>* strong-willed</div><br><div class='definition'>* resolute</div><br><div class='definition'>* bold</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* robust (vitality, appetite, economic growth, etc.)</div><br><div class='definition'>* strong</div><br><br>
<h1>電池</h1>|<div class='reading'>でんち</div><br><hr><div class='tags'>n</div><br><div class='definition'>* battery</div><br><div class='definition'>* cell</div><br><br>
<h1>連れ</h1>|<div class='reading'>づれ</div><br><hr><div class='tags'>suf</div><br><div class='definition'>* in the company of</div><br><div class='definition'>* accompanied by ...</div><br><div class='definition'>* as a group comprising ...</div><br><br><div class='tags'>derog-suf</div><br><div class='definition'>* likes of ...</div><br><br><br><div class='reading'>つれ</div><br><div class='reading'>ツレ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* companion</div><br><div class='definition'>* company</div><br><br><div class='tags'>noh-n</div><br><div class='definition'>* tritagonist</div><br><div class='definition'>* second supporting character</div><br><br>
<h1>キャベツ</h1>|<div class='reading'>キャベツ</div><br><div class='reading'>キャベジ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* cabbage (Brassica oleracea)</div><br><br>
<h1>花壇</h1>|<div class='reading'>かだん</div><br><hr><div class='tags'>n</div><br><div class='definition'>* flower bed</div><br><br>
<h1>かわいそう</h1>|<div class='reading'>かわいそう</div><br><hr><div class='tags'>uk-adj-na-n</div><br><div class='definition'>* poor</div><br><div class='definition'>* pitiable</div><br><div class='definition'>* pathetic</div><br><div class='definition'>* pitiful</div><br><br>
<h1>浴室</h1>|<div class='reading'>よくしつ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* bathroom</div><br><br>
<h1>何冊</h1>|No data available. Sorry :(
<h1>土台</h1>|<div class='reading'>どだい</div><br><hr><div class='tags'>n</div><br><div class='definition'>* foundation</div><br><div class='definition'>* base</div><br><div class='definition'>* basis</div><br><br><div class='tags'>adv</div><br><div class='definition'>* from the beginning</div><br><div class='definition'>* from the outset</div><br><div class='definition'>* by nature</div><br><br>
<h1>済ます</h1>|<div class='reading'>すます</div><br><hr><div class='tags'>v5s-vt</div><br><div class='definition'>* to finish</div><br><div class='definition'>* to get it over with</div><br><div class='definition'>* to conclude</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to settle</div><br><div class='definition'>* to pay back</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to get along (without something)</div><br><div class='definition'>* to make do with (without)</div><br><br>
<h1>すげー</h1>|<div class='reading'>すげー</div><br><div class='reading'>すげぇ</div><br><div class='reading'>すげえ</div><br><div class='reading'>すっげー</div><br><div class='reading'>スゲー</div><br><div class='reading'>すんげー</div><br><div class='reading'>すっげぇ</div><br><div class='reading'>すっげえ</div><br><div class='reading'>すんげぇ</div><br><div class='reading'>スゲェ</div><br><div class='reading'>スゲエ</div><br><div class='reading'>スッゲー</div><br><div class='reading'>スッゲェ</div><br><div class='reading'>スッゲエ</div><br><div class='reading'>すげい</div><br><div class='reading'>スゲイ</div><br><div class='reading'>すんげえ</div><br><div class='reading'>スンゲー</div><br><div class='reading'>スンゲェ</div><br><hr><div class='tags'>col-int-exp</div><br><div class='definition'>* incredible</div><br><div class='definition'>* unbelievable</div><br><div class='definition'>* terrific</div><br><div class='definition'>* impressive</div><br><br>
<h1>酸っぱい</h1>|<div class='reading'>すっぱい</div><br><hr><div class='tags'>adj-i</div><br><div class='definition'>* sour</div><br><div class='definition'>* acid</div><br><br>
<h1>受信</h1>|<div class='reading'>じゅしん</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* receiving (a message, letter, email, etc.)</div><br><div class='definition'>* reception (radio, TV, etc.)</div><br><br>
<h1>先程</h1>|<div class='reading'>さきほど</div><br><hr><div class='tags'>n-adv</div><br><div class='definition'>* a short while ago</div><br><div class='definition'>* a moment ago</div><br><div class='definition'>* just now</div><br><div class='definition'>* some time ago</div><br><br>
<h1>理科</h1>|<div class='reading'>りか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* science (inc. mathematics, medicine, etc.)</div><br><div class='definition'>* natural science</div><br><br><div class='tags'>n</div><br><div class='definition'>* science department (university)</div><br><div class='definition'>* science course</div><br><br><div class='tags'>n</div><br><div class='definition'>* science (as a school subject)</div><br><br>
<h1>禁じる</h1>|<div class='reading'>きんじる</div><br><hr><div class='tags'>v1-vt</div><br><div class='definition'>* to prohibit</div><br><br>
<h1>とてつもない</h1>|<div class='reading'>とてつもない</div><br><hr><div class='tags'>uk-exp-adj-i</div><br><div class='definition'>* extravagant</div><br><div class='definition'>* absurd</div><br><div class='definition'>* unbelievable</div><br><div class='definition'>* preposterous</div><br><div class='definition'>* unreasonable</div><br><br><div class='tags'>uk-exp-adj-i</div><br><div class='definition'>* enormous</div><br><div class='definition'>* tremendous</div><br><div class='definition'>* extraordinary</div><br><div class='definition'>* monumental</div><br><br>
